fixture_id,team_id,team_name,player_id,player_name,minutes_played,rating,goals,assists,shots_total,shots_on,passes_total,passes_accuracy,tackles,duels_total,duels_won,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_red
1044884,81,Marseille,1465,Pierre-Emerick Aubameyang,23.0,6.3,0,0,0,0,7,2,1,6,2,0,0,0,0,0
1044884,81,Marseille,1454,Matt̩o Guendouzi,16.0,6.3,0,0,0,0,3,2,0,2,1,0,1,0,0,0
1044884,81,Marseille,412,Amine Harit,16.0,6.3,0,0,0,0,2,1,0,0,0,0,0,0,0,0
1044884,81,Marseille,47426,Rub̩n Blanco,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
1044884,81,Marseille,195893,Souleymane Isaak Tour̩,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
1044884,81,Marseille,283216,Bilal Nadir,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
1044884,81,Marseille,343211,Emran Soglo,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
1044884,93,Reims,20566,Yehvann Diouf,90.0,6.9,0,0,0,0,28,26,0,0,0,0,0,0,0,0
1044884,93,Reims,22000,Thomas Foket,90.0,6.6,0,0,0,0,41,35,0,4,3,0,0,0,0,0
1044884,93,Reims,71545,Joseph Okumu,90.0,6.9,0,0,1,1,69,59,1,11,6,2,0,1,0,0
1044884,93,Reims,2704,Yunis Abdelhamid,90.0,6.7,0,0,0,0,63,58,4,12,6,0,0,1,0,0
1044884,93,Reims,278128,Josh Wilson-Esbrand,80.0,6.2,0,0,0,0,37,29,2,7,2,0,0,2,1,0
1044884,93,Reims,314231,Amir Richardson,60.0,6.9,0,0,0,0,22,20,1,6,3,0,1,2,1,0
1044884,93,Reims,37236,Azor Matusiwa,90.0,7.2,0,0,0,0,44,33,2,8,5,2,0,0,0,0
1044884,93,Reims,1942,Junya Ito,90.0,7.7,1,0,2,1,34,27,1,9,5,2,2,1,0,0
1044884,93,Reims,3080,Marshall Munetsi,80.0,6.9,0,1,1,0,9,5,2,11,5,0,2,2,1,0
1044884,93,Reims,145476,Reda Khadra,60.0,6.7,0,0,2,1,14,9,1,5,1,0,0,0,0,0
1044884,93,Reims,334429,Oumar Diakit̩,60.0,6.6,0,0,0,0,13,7,1,10,6,0,2,1,0,0
1044884,93,Reims,8966,Teddy Teuma,30.0,6.3,0,0,0,0,18,16,1,6,1,0,0,3,0,0
1044884,93,Reims,33321,Keito Nakamura,30.0,7.2,0,0,0,0,10,7,0,3,1,1,0,1,0,0
1044884,93,Reims,352990,Amine Salama,30.0,6.2,0,0,1,1,6,4,0,4,2,1,0,1,0,0
1044884,93,Reims,327692,Therence Koudou,10.0,6.6,0,0,1,0,13,10,0,0,0,0,0,0,0,0
